"Current","Previous","Estimate","Error"
"Hawaii","Arkansas",242,260
"Idaho","Arkansas",224,188
"Illinois","Arkansas",3185,1513
"Indiana","Arkansas",2016,1321
"Iowa","Arkansas",433,317
"Kansas","Arkansas",998,697
"Kentucky","Arkansas",1058,778
"Louisiana","Arkansas",2774,1144
"Maine","Arkansas",38,67
"Maryland","Arkansas",423,528
"Massachusetts","Arkansas",167,201
"Michigan","Arkansas",2054,1024
"Minnesota","Arkansas",951,599
"Mississippi","Arkansas",2315,1360
"Missouri","Arkansas",6168,1528
"Montana","Arkansas",49,70
"Nebraska","Arkansas",161,146
"Nevada","Arkansas",310,358
"New Hampshire","Arkansas",22,37
"New Jersey","Arkansas",57,97
"New Mexico","Arkansas",682,607
"New York","Arkansas",1041,734
"North Carolina","Arkansas",327,322
"North Dakota","Arkansas",249,293
"Ohio","Arkansas",1952,1128
"Oklahoma","Arkansas",6894,2060
"Oregon","Arkansas",988,1155
"Pennsylvania","Arkansas",582,601
"Rhode Island","Arkansas",0,207
"South Carolina","Arkansas",1333,1301
"South Dakota","Arkansas",659,778
"Tennessee","Arkansas",7393,3038
"Texas","Arkansas",16461,3965
"Utah","Arkansas",422,455
"Vermont","Arkansas",0,145
"Virginia","Arkansas",645,606
"Washington","Arkansas",756,565
"West Virginia","Arkansas",225,361
"Wisconsin","Arkansas",335,285
"Wyoming","Arkansas",174,191
"Puerto Rico","Arkansas",0,210
"Alabama","California",3389,1286
"Alaska","California",3098,1921
"Arizona","California",49635,8755
"Arkansas","California",4077,2327
"California","California","N/A","N/A"
"Colorado","California",23234,3742
"Connecticut","California",3699,1455
"Delaware","California",699,594
"District of Columbia ","California",3797,1233
"Florida","California",22420,4065
"Georgia","California",14949,3387
"Hawaii","California",10173,2201
"Idaho","California",9021,2484
"Illinois","California",13930,2863
"Indiana","California",7649,2229
"Iowa","California",3297,1022
"Kansas","California",4743,2121
"Kentucky","California",2130,1154
"Louisiana","California",3957,898
"Maine","California",829,428
"Maryland","California",8595,1773
"Massachusetts","California",11556,2290
"Michigan","California",7793,1752
"Minnesota","California",6638,2072
"Mississippi","California",4723,1290
"Missouri","California",8386,1909
"Montana","California",3033,1110
"Nebraska","California",5124,1727
"Nevada","California",40114,5354
"New Hampshire","California",547,334
"New Jersey","California",5986,1519
"New Mexico","California",7066,2324
"New York","California",25761,3856
"North Carolina","California",15373,5531
"North Dakota","California",1356,1011
"Ohio","California",9032,1771
"Oklahoma","California",8233,2583
"Oregon","California",34214,4555
"Pennsylvania","California",10672,2349
"Rhode Island","California",1949,734
"South Carolina","California",6592,1789
"South Dakota","California",1286,622
"Tennessee","California",7130,2041
"Texas","California",58992,7044
"Utah","California",18237,4113
"Vermont","California",819,508
"Virginia","California",19371,4241
"Washington","California",38421,4474
"West Virginia","California",1442,1085
"Wisconsin","California",6637,2054
"Wyoming","California",2539,1151
"Puerto Rico","California",207,222
"Alabama","Colorado",348,295
"Alaska","Colorado",1583,727
"Arizona","Colorado",10189,2958
"Arkansas","Colorado",746,451
"California","Colorado",21245,3867
"Colorado","Colorado","N/A","N/A"
"Connecticut","Colorado",1502,618
"Delaware","Colorado",169,218
"District of Columbia ","Colorado",452,321
"Florida","Colorado",9383,2988
"Georgia","Colorado",2325,1399
"Hawaii","Colorado",950,493
"Idaho","Colorado",1813,1022
"Illinois","Colorado",3271,1390
"Indiana","Colorado",1930,759
"Iowa","Colorado",2891,1129
"Kansas","Colorado",5030,1611
"Kentucky","Colorado",221,197
"Louisiana","Colorado",1202,983
"Maine","Colorado",290,222
"Maryland","Colorado",1796,837
"Massachusetts","Colorado",1388,972
"Michigan","Colorado",3425,1462
"Minnesota","Colorado",2662,1023
"Mississippi","Colorado",484,453
"Missouri","Colorado",3144,1163
"Montana","Colorado",2856,1265
"Nebraska","Colorado",3245,962
"Nevada","Colorado",2714,1470
"New Hampshire","Colorado",403,313
"New Jersey","Colorado",2203,1931
"New Mexico","Colorado",5525,1537
"New York","Colorado",3724,1151
"North Carolina","Colorado",3919,1645
"North Dakota","Colorado",1229,612
"Ohio","Colorado",2690,1023
"Oklahoma","Colorado",3273,1511
"Oregon","Colorado",2110,659
"Pennsylvania","Colorado",2491,1027
"Rhode Island","Colorado",301,271
"South Carolina","Colorado",1000,598
"South Dakota","Colorado",1021,604
"Tennessee","Colorado",1372,902
"Texas","Colorado",19126,3821
"Utah","Colorado",3986,1191
"Vermont","Colorado",529,493
"Virginia","Colorado",4908,2334
"Washington","Colorado",3938,1215
"West Virginia","Colorado",124,160
"Wisconsin","Colorado",2592,1457
"Wyoming","Colorado",6905,2099
"Puerto Rico","Colorado",0,210
"Alabama","Connecticut",2921,3231
"Alaska","Connecticut",138,167
"Arizona","Connecticut",1875,1213
"Arkansas","Connecticut",519,654
"California","Connecticut",3073,1222
"Colorado","Connecticut",1567,838
"Connecticut","Connecticut","N/A","N/A"
